"","Country_Code","log_GNI","GGI_s","SIGI_s","MENA"
"1","ALB",8.3380665255188,0.225345805063329,0.717105146544014,0
"2","AGO",8.14612951002541,-1.02827465449365,0.104006897781001,0
"3","ARG",9.39015879855202,0.86243161237917,-1.20156031094552,0
"4","ARM",8.23483028044206,-0.493944622551328,0.62315614144955,0
"5","AZE",8.46800294722547,-0.18567729643076,0.657982065751808,0
"6","BGD",7.1929342212158,0.102038874615101,1.8704101746002,0
"7","BLR",8.62873456614915,0.903533922528579,-1.01609201640559,0
"8","BEL",10.6411299729826,1.06794316312622,-1.2752616856317,0
"9","BEN",6.7093043402583,-1.17213274001658,0.963316332308818,0
"10","BTN",7.82803803212583,-1.04882580956835,-0.363308412042326,0
"11","BOL",8.02943284058124,1.08849431820092,-0.819285048837011,0
"12","BIH",8.50512061018197,-0.165126141356055,-1.01852173205458,0
"13","BRA",9.08704215563169,-0.124023831206646,-0.917283580013133,0
"14","BGR",8.93326847863642,0.677471216706829,-0.924572726960118,0
"15","BFA",6.42971947803914,-1.08992811971776,0.994902635745749,0
"16","BDI",5.63478960316925,1.54061972984442,0.0578423004501003,0
"17","KHM",7.03878354138854,-0.720007328373078,-0.901895380902833,0
"18","CMR",7.24422751560335,-0.18567729643076,0.981944152284444,0
"19","TCD",6.5792512120101,-2.1791393386771,2.48998766509386,0
"20","CHN",9.01796847932873,-0.350086537028396,-0.227244335698619,0
"21","COL",8.74989095553526,0.698022371781533,-0.590081872615171,0
"22","CRI",9.29099827499364,0.882982767453874,-0.878408129629217,0
"23","CZE",9.77223926592617,-0.062370365982535,-1.05901699287116,0
"24","DOM",8.76248954737158,-0.350086537028396,-0.990984954699308,0
"25","ECU",8.66561319653451,0.677471216706829,-0.946440167801071,0
"26","SLV",8.27384693278451,0.18424349491392,-0.891366613090523,0
"27","ETH",6.49223983502047,-0.63780270807426,0.696047610919393,0
"28","FRA",10.5641115413905,1.27345471387326,-1.26068339173773,0
"29","GMB",6.06378520868761,-0.535046932700737,2.95568316448453,0
"30","GEO",8.25062008217469,-0.247330761654874,0.359936946141783,0
"31","GHA",7.22983877815125,0.245896960138033,1.13177661730579,0
"32","GTM",8.24012129807647,-0.555598087775442,-0.220765093967966,0
"33","GIN",6.50727771238501,-1.08992811971776,1.30833595446607,0
"34","HND",7.67322312112171,-0.062370365982535,-0.418381966752874,0
"35","IND",7.4205789054108,-0.206228451505465,0.858028654185711,0
"36","IDN",8.13153071060425,-0.226779606580169,-0.0474453776730062,0
"37","ITA",10.3650178845772,0.533613131183897,-1.19427116399854,0
"38","JAM",8.44031214708028,0.63636890655742,-0.194848127045355,0
"39","JOR",8.27384693278451,-1.85032085748183,1.23787420064523,1
"40","KAZ",9.08364271893022,0.513061976109192,-0.31957353036042,0
"41","KEN",7.22983877815125,0.18424349491392,0.458745382534237,0
"42","KGZ",7.00306545878646,-0.124023831206646,0.00600836660487862,0
"43","LAO",7.67322312112171,0.63636890655742,-0.117907131493855,0
"44","LVA",9.58671989918925,1.27345471387326,-0.874358603547559,0
"45","LBN",8.98469369044386,-1.95307663285535,1.05807524261961,1
"46","LSO",7.14677217945264,0.266448115212738,-0.578743199586529,0
"47","LBR",5.91350300563827,-0.843314258821306,1.81209699902432,0
"48","LTU",9.59899836176797,1.04739200805151,-0.944820357368408,0
"49","MKD",8.5131851700187,0.0609365644656923,-0.198897653127013,0
"50","MDG",5.99146454710798,0.225345805063329,-0.476695142328749,0
"51","MWI",5.76832099579377,0.143141184764511,0.390713344362384,0
"52","MLI",6.64639051484773,-2.09693471837828,2.89413036804333,0
"53","MRT",7.02997291170639,-1.41874660091303,1.9141450562821,0
"54","MDA",7.65917136766606,0.985738542827397,-0.872738793114896,0
"55","MNG",8.18590748148232,0.245896960138033,-1.0088028694586,0
"56","MAR",7.9550742732627,-1.97362778793006,-0.436199881512169,1
"57","MOZ",6.17378610390194,1.17069893849974,-0.174600496637066,0
"58","NAM",8.4424696452203,1.47896626462031,-0.338201350336047,0
"59","NPL",6.59304453414244,-0.658353863148965,1.3269637744417,0
"60","NIC",7.64969262371151,1.78723359074087,0.0035786509558839,0
"61","NGA",7.80384330353877,-1.02827465449365,1.87931913197985,0
"62","PAK",7.3132203870903,-2.81622514599294,1.15202424771408,0
"63","PAN",9.40426106461349,0.574715441333306,-0.984505712968655,0
"64","PRY",8.30893825259578,-0.350086537028396,-0.81847514362068,0
"65","PER",8.69114649853968,-0.124023831206646,-0.619238460403108,0
"66","PHL",8.18311807939475,1.9105405211891,0.141262537732254,0
"67","ROU",9.15693959524907,-0.062370365982535,-0.732625190689531,0
"68","RWA",6.5510803350434,2.19825669223497,-0.203757084425003,0
"69","SEN",6.85646198459459,-0.165126141356055,0.319441685325204,0
"70","SRB",8.57734711423598,0.554164286258602,-1.20965936310884,0
"71","SVN",9.9813740911932,1.9105405211891,-1.25825367608873,0
"72","ZAF",8.61068353450358,1.4584151095456,-0.803086944510379,0
"73","ESP",10.2255710517052,0.924085077603284,-1.24853481349275,0
"74","LKA",8.23747928861363,-0.41174000225251,0.245740310639029,0
"75","SWZ",7.99294454731811,-0.576149242850146,0.427968984313637,0
"76","TJK",7.01211529430638,-0.288433071804283,-0.160022202743097,0
"77","TZA",6.80239476332431,0.471959665959783,0.739782492601299,0
"78","THA",8.6376393444921,0.122590029689806,-0.432960260646843,0
"79","TLS",7.63046126178363,-1.15158158494187,0.777038132552552,0
"80","TTO",9.69523261371567,0.615817751482715,-1.09708253803875,0
"81","TUN",8.21338173703457,-1.17213274001658,0.320251590541535,1
"82","TUR",9.32634404773249,-1.43929775598774,-0.452397985838801,0
"83","UGA",6.44571981938558,0.225345805063329,0.463604813832227,0
"84","UKR",7.74500280351584,0.143141184764511,-0.680791256844309,0
"85","VNM",7.64969262371151,0.143141184764511,0.222253059365413,0
"86","ZWE",6.79122146272619,0.348652735511556,-0.160832107959429,0
